ID,Comune,Provincia,Tipologia,Nome,Via,Citta,CAP,mail,Telefono
54,46011,46,Ristorante,Cantina Delle Pianacce,Via Nazionale 193 - Ghivizzano,Coreglia Antelminelli,55025,lacantinadellepianacce@hotmail.it,0583  .779162
55,45007,45,Ristorante,Da Remo,Via Cesare Battisti 57,"Monzone, Fivizzano",54013,daremo@e-toscana.com,0585  97933
56,45007,45,Ristorante,Albergo Ristorante 'il Giardinetto',Via Roma 155,Fivizzano,54013,hotelilgiardinetto@libero.it,0585  92060
57,45007,45,Ristorante,Il Sicomoro,Via Pianezza 2,"Cormezzano, Fivizzano",54013,albergosicomoro@libero.it,0585  99442
58,45007,45,Bottega,La Bottega Dei Parchi,Piazza Dei Parchi,"Rometta, Fivizzano",54013,labottegadeiparchi@gmail.com,0585  93577
59,45007,45,Ristorante,La Posta,Via Provinciale 15,"Equi Terme, Fivizzano",54013,francesco.franceschini80@virgilio.it,0585  97937
60,45010,45,Bottega,Giuliaissimo,Via Colombo N. 27 Angolo Via Ascoli,"Marina Di Massa, Massa",54100,marketgiulia@gmail.com,0585  .2415
61,45010,45,Bottega,Macelleria Cantarelli,Via San Giuseppe Vecchio N° 70,Massa,54100,Indirizzo posta elettronica non fornito,0585  252284
62,45010,45,Ristorante,Ristorante Uliveto,Via Massa Avenza 17,Massa,54100,uliveto26@libero.it,0585  251030
63,45010,45,Ristorante,Uliveto,"Via Massa Avenza, 17",Massa,54100,uliveto26@libero.it,0585  251030
64,45010,45,Ristorante,Abacab Ristorante Pizzeria Tordelleria,Via Del Papino 27,"Turano, Massa",54100,en.zega@gmail.com,0585  488408
65,45010,45,Bottega,Alimentari Lunardini Ernesto,Via C. Orecchia N° 5,Massa,54100,Indirizzo posta elettronica non fornito,0585  811336
66,45010,45,Bottega,Vecchia Martana,"Via Beatrice, 69",Massa,54100,alvaro53@tiscali.it,0585  47307
67,45010,45,Ristorante,Trattoria Astolfo,"Via Beatrice, 58",Massa,54100,Indirizzo posta elettronica non fornito,0585  44844
68,45010,45,Ristorante,Osteria Del Borgo,"Via Beatrice, 17",Massa,54100,Indirizzo posta elettronica non fornito,0585  810680
69,45010,45,Ristorante,La Carretta,Lungo Mare Vespucci Amerigo 50,"Marina Di Massa, Massa",54100,Indirizzo posta elettronica non fornito,0585  240591
70,45010,45,Ristorante,La Peniche,Via Lungo Brugiano 3,"Marina Di Massa, Massa",54100,info@lapeniche.com,0585  .240117
71,45010,45,Bottega,Alimentari Manicardi Paolo,Galleria Leonardi Da Vinci 45/46,Massa,54100,manicardipaolo@gmail.com,0585  45244
72,45010,45,Ristorante,Il Fatty,"Via Ghirlanda, 9","Centro Storico, Massa",54100,badiali.ale@hotmail.it,0+39  3280655067
73,45010,45,Ristorante,Ristorante Passeggero,Via Alberica 1,Massa,54100,luigidelmonte@alice.it,0585  489651
74,45010,45,Bottega,Drogheria Caffé Gli Svizzeri Di Belatti Fabrizio,"Via Cairoli, 53",Massa,54100,gli_svizzeri@libero.it,0585  43092
75,45010,45,Bottega,La Dispensa,Via Betti 4,Massa,54100,ladispensams@libero.it,0339  1286700
76,45010,45,Ristorante,Osteria I 3 Compari,Via Zoppi 8,"Centro Storico, Massa",54100,stefano_rocchi@hotmail.com,0585  488189
77,45010,45,Ristorante,L' Arco Di Cybo,"Piazza Portone, 5",Massa,54100,giocusi@libero.it,0585  41010
78,45010,45,Bottega,Macelleria Nino E Nadia,Viale Trieste 57,Massa,54100,Indirizzo posta elettronica non fornito,0585  41087
79,45010,45,Bottega,Alimentari Tassoni Srl,"Via Aurelia Ovest, 99",Massa,54100,Indirizzo posta elettronica non fornito,0585  42051
80,45010,45,Ristorante,Fornaretto,Via Castagnara 187,"Romagnano, Massa",54100,info@ilfornaretto.net,0585  831536
81,45010,45,Ristorante,"Ristorante ""il Fornaretto""","Via Castagnara, 191","Castagnara, Massa",54100,Indirizzo posta elettronica non fornito,0585  831536
82,45010,45,Bottega,Macelleria Zazzà Di Briglia Carlo,Via Aldo Salvetti 234,Massa,54100,Indirizzo posta elettronica non fornito,0585  832230
83,45012,45,Ristorante,Da Giovanni,"Via Cravilla, 50","Groppoli, Mulazzo",54026,info@lapinetacravilla.com,0018  7.850220-0187.850013
84,45013,45,Ristorante,Ristorante La Greppia,"Via Pagliadiccio,3","Montedivalli, Podenzana",54010,bonfigli@lagreppia.it,0187  945117
85,45014,45,Ristorante,Osteria Caveau Del Teatro,"Piazzetta S. Cristina, 4",Pontremoli,54027,info@caveaudelteatro.it,0187  833328
86,45014,45,Ristorante,Ristorante Caveau Del Teatro,Piazzetta S. Cristina,Pontremoli,54027,info@caveaudelteatro.it,0187  833328
87,45014,45,Bottega,Naturalmente Lunigiana Pontremoli,Via Ricci Armani 13,Pontremoli,54027,natlunpontvt@gmail.com,0187  457563
88,45014,45,Ristorante,Trattoria Pelliccia,Via Garibaldi 130,Pontremoli,54027,trattoriapelliccia@virgilio.it,0187  830577
89,45014,45,Ristorante,La Locanda Degli Aceri,Via Nazionale 5,"Passo Cisa, Pontremoli",54027,locandadegliaceri@lunigiana.net,0187  836427
90,45015,45,Ristorante,Ristorante Albergo Mauro,"Via Roma, 223","Barbarasco, Tresana",54012,ristorante.mauro@libero.it,0018  77477160-0187477464
91,45016,45,Ristorante,All'antico Mulino,Piazza San Giovanni 1,Villafranca In Lunigiana,54028,melchiorre@lunigiana.net,0187  495000
92,45016,45,Ristorante,"Ristorante  Pizzeria ""al Pozzo""","Via San Genesio, 33","Filetto, Villafranca In Lunigiana",54028,ristorante-alpozzo@libero.it,0187  495104
93,45016,45,Ristorante,Alla Piazza Di Sopra,Piazza Immacolata 11,"Filetto, Villafranca In Lunigiana",54028,allapiazzadisopra@libero.it,0018  7/493796
94,52032,52,Bottega,Antica Salumeria Salvini Di C.s.z. S.n.c.,"S.s. Ponente, 46","Costafabbri, Siena",53036,info@anticasalumeriasalvini.com,0577  394399
95,46002,46,Ristorante,Ristorante Pizzeria Acquolina In Bocca Da Ale 2,Via Lupo Lupari 7,"Benabbio, Bagni Di Lucca",55022,giovannipierotti83@gmail.com,0058  3/1807838
96,46002,46,Ristorante,Antico Caffé Del Sonno,Viale Umberto 146/148,Bagni Di Lucca,55022,info@ristorantedelsonno.it,0583  .80508
97,46003,46,Ristorante,Alpino,"Via G.pascoli, 41",Barga,55051,alpino@bargaholiday.com,0583  723336
98,45001,45,Bottega,Le Delizie Di Sofia,"Via Apua, 48-50",Aulla,54011,Indirizzo posta elettronica non fornito,0340  1469745
99,45001,45,Bottega,Alimentari Lombardi Sandra,"Piazza Vittoria, 7",Aulla,54011,Indirizzo posta elettronica non fornito,0187  420325
100,45011,45,Ristorante,Agriturismo Karma,Via Guadagni 18,"Castello Aghinolfi, Montignoso",54038,info@agrikarma.it,0585  821237
101,45011,45,Bottega,Macelleria Vignali Raffaella,Via Del Pero N° 17,Massa,54100,Indirizzo posta elettronica non fornito,0585  348779
102,45011,45,Bottega,Gianfranceschi Adalgisa,Via Della Resistenza 104,Montignoso,54038,Indirizzo posta elettronica non fornito,0585  48538
103,45002,45,Ristorante,Ristorante I Fondi,Borgo Della Repubblica 26,Bagnone,54021,Indirizzo posta elettronica non fornito,0187  429086
104,45002,45,Ristorante,Locanda La Lina,Piazza Marconi 1,Bagnone,54021,linari06@locandalalina.191.it,0187  429069
105,46005,46,Ristorante,Zenzero Ristorante Pizzeria,Via Vittorio Emanuele 62,Camaiore,55041,info@zenzeroversilia.it,0389  9146830
106,46005,46,Ristorante,La Spiaggia Ristorante,Viale Bernardini 700,"Lido, Camaiore",55041,info@bagnolaspiaggia.it,0584  610553
107,46005,46,Ristorante,Locanda Di Simone,Via Arginvecchio 58,"Capezzano Pianore, Camaiore",55041,lalocandadisimone@gmail.com,0329  3220414
108,46005,46,Ristorante,Kilometrozero,Piazza Lemmetti 18,"Lido Di Camaiore, Camaiore",55041,lanticatoscana@email.it,0058  4631468-3479215845
109,46005,46,Ristorante,Le Monache,Piazza Xxix Maggio N°36,Camaiore,55041,info@lemonache.com,0584  984282
110,46005,46,Ristorante,Bagno Ristorante Il Cavallone,Viale Sergio Bernardini 722,"Lido Di Camaiore, Camaiore",55041,laura.bagnocavallone@gmail.com,0584  610554
111,46005,46,Ristorante,Le Tre Terrazze,Piazza Degli Artisti 6,"Monteggiori, Camaiore",55041,info@letreterrazze.it,0584  .913801
112,46005,46,Ristorante,Osteria Al Greppo,"Corte Del Ristoro, 6","Greppolungo, Camaiore",55041,osteriaalgreppo@yahoo.it,0584  981164
113,46005,46,Ristorante,La Brilla,"Via Nuova, 825","Vado, Camaiore",55041,labrillaenoteca@yahoo.it,0584  984657
114,51020,51,Ristorante,"Ristorante ""la Ferriera""","Via Francesco Turati, 30",Loro Ciuffenna,52024,Indirizzo posta elettronica non fornito,0559  174006
115,51025,51,Ristorante,Trattoria Del Forno,Via C. Cungi 22,Monte San Savino,52048,info@trattoriadelforno.it,0575  844459
116,51026,51,Bottega,Macelleria Singali Rinaldo,"Via Leona-levane, 8",Montevarchi,52025,Indirizzo posta elettronica non fornito,0559  789831
117,51026,51,Bottega,Gastronomia Chef,"Via Poggio Bracciolini, 68",Montevarchi,52025,Indirizzo posta elettronica non fornito,0559  83534
118,51026,51,Bottega,Special Market Snc Di Gloter Luciano,Via Roma 41/43,Montevarchi,52025,Indirizzo posta elettronica non fornito,0555  270217
119,51026,51,Bottega,Macelleria Moretti,"Via Trento, 4",Montevarchi,52025,Indirizzo posta elettronica non fornito,0559  80551
120,51026,51,Ristorante,Ristorante Daniele Riccardo,Via Poggio Bracciolini 5,Montevarchi,52025,casinid@alice.it,0559  00399
121,51026,51,Ristorante,La Buca Di Ipo,"Via Pascoli, 36",Montevarchi,52025,info@labucadiipo.it,0559  82233
122,51026,51,Bottega,Alimentari Anna & Massimo,"Via 24 Maggio, 48",Montevarchi,52025,Indirizzo posta elettronica non fornito,0559  81880
123,51026,51,Bottega,Macelleria Cioni Mauro,"Piazza Roanne, 9",Montevarchi,52025,Indirizzo posta elettronica non fornito,0559  01767
124,51026,51,Bottega,Antica Macelleria Fantechi,"Via Burzagli, 116",Montevarchi,52025,Indirizzo posta elettronica non fornito,0559  102005
125,51028,51,Ristorante,"Ristorante ""il Cacciatore""","Via Nazionale, 32/34/36",Pergine Valdarno,52020,Indirizzo posta elettronica non fornito,0575  896527
126,51030,51,Bottega,Sapori Di Sicilia,"Via Tiberina, 52",Pieve Santo Stefano,52036,info.saporidisicilia@alice.it,0388  0497819
127,51007,51,Ristorante,Buca Di Michelangelo,Via Roma 51,Caprese Michelangelo,52033,albergo@bucadimichelangelo.it,0575  793921
128,51031,51,Bottega,"Alimentari ""il Castello"" Di Gennellini  Sonia",Via C. Battisti  21,Poppi,52014,Indirizzo posta elettronica non fornito,0575  520211
129,51031,51,Ristorante,Osteria Il Porto - Delicious Srl,"Via Roma, 224/226",Poppi,52014,v.tapinassi@gmail.com,0057  5529233-3398960781
130,51031,51,Bottega,Osteria Del Tempo Perso,Via Roma 79,Poppi,52013,Indirizzo posta elettronica non fornito,0575  529996
131,51007,51,Ristorante,Ristorante Il Cerro,Via Il Cerro 120,Caprese Michelangelo,52033,ilcerroristorante@gmail.com,0575  793923
132,51007,51,Ristorante,Il Boschetto Bar Pizzeria 100 Tipi Di Pizza,Via Il Cerro 120/c,Caprese Michelangelo,52033,barpizzeriailboschetto@virgilio.it,0575  793731
133,51033,51,Ristorante,Osteria Dell'angelo,"Via Della Madonna, 3/5",San Giovanni Valdarno,52027,rossanacap@gmail.com,0559  43799
134,51034,51,Ristorante,"Ristorante ""la Balestra""","Via Dei Montefeltro, 29",Sansepolcro,52037,balestra@labalestra.it,0575  735151
135,51034,51,Ristorante,Osteria Toscana Borgo Antico,"Via Mazzini, 14",Sansepolcro,52037,Indirizzo posta elettronica non fornito,0575  750208
136,51034,51,Ristorante,Ristorante Fiorentino,"Via Luca Pacioli, 60",Sansepolcro,52037,ristorante@ristorantefiorentino.it,0575  742033
137,51034,51,Bottega,Pizzicheria Boncompagni Giuliano,Via 20 Settembre 14, ansepolcro,52037,sussyjohanna@hotmail.com,0575  741897
138,51034,51,Bottega,La Spizzicheria Di Colucci Marco Ivo,Via Mazzini 88,Sansepolcro,52037,Indirizzo posta elettronica non fornito,0348  5535306
139,51034,51,Ristorante,"Ristorante Enoteca Berghi ""dal Grigino""",Via Xx Settembre 10,Sansepolcro,52037,info@ristoranteberghi.it,0328  4871361
140,51034,51,Ristorante,Osteria In Aboca,Località Aboca 11,"Aboca, 11, Sansepolcro",52037,Indirizzo posta elettronica non fornito,0575  749125
141,51011,51,Ristorante,Osteria Del Borro,"Via Del Borro, 52",Loro Ciuffenna,52024,Indirizzo posta elettronica non fornito,0559  77115
142,51012,51,Ristorante,"Ristorante ""la Nave""",La Nave 89/a,"La Nave, 89/a, Castiglion Fiorentino",52043,info@lanavehotel.it,0575  684040
143,51017,51,Ristorante,La Locanda Nel Loggiato,Piazza Pescheria 3,Cortona,52043,info@laloggetta.com,0575  630575
144,51017,51,Ristorante,Locanda Del Molino,Località Montanare 10,Cortona,52043,info@locandadelmolino.com,0575  614016
145,51017,51,Ristorante,Ristorante Pizzeria Castel Girardi,Località Castelgirardi 61,Cortona,52043,castelgirardi@alice.it,0575  691030
146,51012,51,Bottega,Alimentari E Gastronomia,Via Dante 4,Castiglion Fiorentino,52040,ladivinabottega@tiscali.it,0334  5874174
147,51012,51,Bottega,Il Buongustaio,Corso Italia 45,Castiglion Fiorentino,52040,riccardo.rosano@yahoo.it,0366  1545623
148,51012,51,Bottega,Aurora Wine,Via Mazzini 36,Castiglion Fiorentino,52043,aurorawinebeer@yahoo.it,0320  7803354
151,51017,51,Ristorante,"Ristorante ""farneta""","Località Farneta, 3, La Villa-farneta",Cortona,52044,info@hotelfarneta.it,0575  610241
152,51017,51,Ristorante,Hostaria Pizzeria La Tufa,Località Ossaia,Cortona,52044,info@hosterialatufa.it,0575  677717
153,51017,51,Ristorante,Ristorante Pizzeria La Tufa,Località Ossaia 95,Cortona,52043,INFO@HOSTARIALATUFA.IT,0575  677717
154,51017,51,Ristorante,Ristorante I Grifi,Località Torreone 7,Cortona,52043,info@locandaigrifi.it,0575  613830
155,51017,51,Bottega,Minimarket Di Lunghini D.e C Snc,Località Campaccio 37c,Cortona,52044,Indirizzo posta elettronica non fornito,0575  605146
156,51017,51,Ristorante,Ristorante Tonino,Piazza Garibaldi 1,Cortona,52044,info@ristorantetonino.com,0575  630500
157,51017,51,Ristorante,Ristorante Stella Polare,Località Le Piagge 2,"Camucia, Cortona",52043,ristorantestellapolare@gmail.com,0575  62122
158,51017,51,Bottega,Enoteca Ôenotriaösnc Di Solfanelli I.e C.,Via Nazionale 81,Cortona,52044,daniele.monacchini@libero.it,0575  603595
159,51017,51,Bottega,Bottega Baracchi,Via Nazionale 78,Cortona,52043,info@bottegabaracchi.com,0575  613874
160,51017,51,Ristorante,"Ristorante Enoteca Cacioteca ""la Bucaccia""","Via Ghibellina, 17",Cortona,52044,tipici@labucaccia.it,0575  606039
161,51017,51,Ristorante,Ristorante Braceria Ad,Via Nazionale 10,Cortona,52043,ad.2009@live.it,0575  638185
162,51017,51,Ristorante,Il Preludio,Via Guelfa 11,Cortona,52043,info@ilpreludio.net,0575  630104
163,51017,51,Ristorante,"Ristorante ""il Preludio""","Via Guelfa, 11",Cortona,52044,Indirizzo posta elettronica non fornito,0575  630104
164,51017,51,Ristorante,Trattoria La Grotta,"Piazza Baldelli, 3",Cortona,52044,Indirizzo posta elettronica non fornito,0575  630271
165,51017,51,Ristorante,Fufluns,Via Ghibellina 3,Cortona,52043,info@fuflunssnc.it,0575  604140
166,51017,51,Ristorante,Il Falconiere,Cs San Martino 370,"San Martino A Bocena 370, Cortona",52044,ristorante@ilfalconiere.it,0575  612616
167,51017,51,Ristorante,La Loggetta,Piazza Di Pescheria  3,Cortona,52044,info@locandanelloggiato.it,0575  630575
168,51017,51,Ristorante,Osteria Oltre Il Giardino,"Viale Passerini, 52044 Cortona, Italia",Cortona,52044,info.oltreilgiardino@gmail.com,0575  603805
169,51017,51,Ristorante,Locanda Pozzo Antico,Via Ghini 14,Cortona,52043,info@cortonastorica.com,0575  62091
170,51017,51,Bottega,Molesini,Piazza Della Repubblica 3,"0575 62544, Cortona",52044,wineshop@molesini-market.com,0575  62544
171,51017,51,Ristorante,Osteria Del Teatro,"Via Maffei, 2",Cortona,52044,info@osteria-del-teatro.it,0575  630556
172,51017,51,Ristorante,"Ristorante ""antica Osteria Dal 1904""","Piazza Signorelli, 30",Cortona,52044,Indirizzo posta elettronica non fornito,0575  631191
173,51017,51,Ristorante,Taverna Pane E Vino,Piazza Signorelli 27,Cortona,52043,taverna@pane-vino.it,0575  .63101
174,51017,51,Bottega,Cacio Brillo,Piazza Signorelli 6,Cortona,52043,info@ilcaciobrillo.it,0575  62555
175,51017,51,Ristorante,Caffe' Del Teatro,Piazza Signorelli 13,Cortona,52043,theglobe@cat.it,0575  601882
176,51017,51,Ristorante,Nessun Dorma,Piazza Signorelli,Cortona,52044,Indirizzo posta elettronica non fornito,0575  62038
177,51017,51,Bottega,Il Cacio Brillo Enoteca Stuzzicheria,Piazza Signorelli N°,Cortona,52044,ilcaciobrillo@live.it,0575  630548
178,51017,51,Ristorante,Croce Del Travaglio,Via Dardano 1,Cortona,52043,lodone@confcommercio.ar.it,0575  62832
179,51017,51,Bottega,Caffé Del Torreone,Viale F. Laparelli 11,Cortona,52044,caffedeltorreone@hotmail.it,0575  603654
180,51017,51,Ristorante,Trattoria Toscana,"Via Dardano, 12",Cortona,52044,saracenci701@hotmail.com,0575  604192
181,51017,51,Ristorante,Trattoria Toscana,Via Dardano 12,Cortona,52043,saracenci701@hotmail.com,0575  644192
182,51017,51,Ristorante,Trattoria Dardano,Via Dardano 24,Cortona,52043,info@trattoriadardano.com,0575  601944
183,51017,51,Ristorante,Ristorante Ambrosia,Via Dardano 40,Cortona,52043,info@ristoranteambrosia.it,0575  604715
184,51017,51,Ristorante,"Ristorante ""la Bottega Dell'oste""","Vicolo Mancini, 10",Cortona,52044,labottegadelloste@gmail.com,0575  62153
185,51017,51,Ristorante,"Ristorante ""il Melone""",Il Sodo 38,"Il Sodo, 38, Cortona",52044,costanza@ilmelone.it,0575  603330
186,51018,51,Ristorante,Ristorante La Sosta Del Granducato,Via E. Ferraris,"Loc. Farnaiole, Foiano Della Chiana",52048,sosta.granducato@capsi.it,0575  258721
187,51018,51,Ristorante,Ristorante Pizzeria Enoteca Da Mengrello,Viale Della Resistemza 20/b,Foiano Della Chiana,52045,info@ristorantemengrello.it,0575  640581
188,51018,51,Bottega,La Bottega Del Vino,Via Gioco Del Pallone 17,Foiano Della Chiana,52045,labottegadelvino@gmail.com,0334  3514848
189,51018,51,Bottega,La Merenderia,Corso Vittorio Emanuele 23,Foiano Della Chiana,52045,claudiadgp@libero.it,0347  1863409/3478915180
190,51018,51,Ristorante,Zinfarosa Trattoria Pizzeria,Piazzetta San Domenico 4 (accesso Al Parcheggio Da Via Indipendenza),Foiano Della Chiana,52045,infozinfa@virgilio.it,0575  640146
191,51018,51,Ristorante,Indo.vino,Via Pozzuolo 30/a,Foiano Della Chiana,52045,vannozziclaudia@gmail.com,0575  642049
192,51018,51,Ristorante,Ristorante Pizzeria L'antica Dimora,Via Di Arezzo N.162,Foiano Della Chiana,52045,mircocamy@libero.it,0575  66565
193,51019,51,Ristorante,Osteria Dell'oca Satolla,"Via Valdascione, 69",Laterina,52020,info@ocasatolla.it,0575  894650
194,51021,51,Ristorante,Le Caselle,Via Procacci,Lucignano,52046,info@lecaselle.net,0575  836264
195,51021,51,Ristorante,Ristorante Il Baraccotto,"Via Procacci, 30",Lucignano,52046,INFO@LECASELLE.NET,0057  5836264-3389905995
196,51021,51,Ristorante,Ristorante La Maggiolata,Via G. Matteotti 60,Lucignano,52046,info@ristorantelamaggiolata.it,0338  3461195
197,51021,51,Ristorante,"Ristorante Enoteca ""il Goccino""","Via G. Matteotti, 88/90",Lucignano,52046,info@ilgoccino.it,0575  836707
