id,id_ristorante,ristorante_id,categoria,nome,prezzo,currency
4,20,20,Drink,Vino Locale,6,EUR
5,20,20,Dessert,Tiramisu,8,EUR
1,21,21,Starters,Insalata,4,EUR
2,21,21,Primi,Pici al ragù di cinghiale,8,EUR
3,21,21,Secondi,Carne,15,EUR
4,21,21,Drink,Vino Locale,6,EUR
5,21,21,Dessert,Tiramisu,8,EUR
1,22,22,Starters,Insalata,4,EUR
2,22,22,Primi,Pici al ragù di cinghiale,8,EUR
3,22,22,Secondi,Carne,15,EUR
4,22,22,Drink,Vino Locale,6,EUR
5,22,22,Dessert,Tiramisu,8,EUR
1,23,23,Starters,Insalata,4,EUR
2,23,23,Primi,Pici al ragù di cinghiale,8,EUR
3,23,23,Secondi,Carne,15,EUR
4,23,23,Drink,Vino Locale,6,EUR
5,23,23,Dessert,Tiramisu,8,EUR
1,24,24,Starters,Insalata,4,EUR
2,24,24,Primi,Pici al ragù di cinghiale,8,EUR
3,24,24,Secondi,Carne,15,EUR
4,24,24,Drink,Vino Locale,6,EUR
5,24,24,Dessert,Tiramisu,8,EUR
1,25,25,Starters,Insalata,4,EUR
2,25,25,Primi,Pici al ragù di cinghiale,8,EUR
3,25,25,Secondi,Carne,15,EUR
4,25,25,Drink,Vino Locale,6,EUR
5,25,25,Dessert,Tiramisu,8,EUR
1,26,26,Starters,Insalata,4,EUR
2,26,26,Primi,Pici al ragù di cinghiale,8,EUR
3,26,26,Secondi,Carne,15,EUR
4,26,26,Drink,Vino Locale,6,EUR
5,26,26,Dessert,Tiramisu,8,EUR
1,27,27,Starters,Insalata,4,EUR
2,27,27,Primi,Pici al ragù di cinghiale,8,EUR
3,27,27,Secondi,Carne,15,EUR
4,27,27,Drink,Vino Locale,6,EUR
5,27,27,Dessert,Tiramisu,8,EUR
1,28,28,Starters,Insalata,4,EUR
2,28,28,Primi,Pici al ragù di cinghiale,8,EUR
3,28,28,Secondi,Carne,15,EUR
4,28,28,Drink,Vino Locale,6,EUR
5,28,28,Dessert,Tiramisu,8,EUR
1,29,29,Starters,Insalata,4,EUR
2,29,29,Primi,Pici al ragù di cinghiale,8,EUR
3,29,29,Secondi,Carne,15,EUR
4,29,29,Drink,Vino Locale,6,EUR
5,29,29,Dessert,Tiramisu,8,EUR
1,30,30,Starters,Insalata,4,EUR
2,30,30,Primi,Pici al ragù di cinghiale,8,EUR
3,30,30,Secondi,Carne,15,EUR
4,30,30,Drink,Vino Locale,6,EUR
5,30,30,Dessert,Tiramisu,8,EUR
1,31,31,Starters,Insalata,4,EUR
2,31,31,Primi,Pici al ragù di cinghiale,8,EUR
3,31,31,Secondi,Carne,15,EUR
4,31,31,Drink,Vino Locale,6,EUR
5,31,31,Dessert,Tiramisu,8,EUR
1,32,32,Starters,Insalata,4,EUR
2,32,32,Primi,Pici al ragù di cinghiale,8,EUR
3,32,32,Secondi,Carne,15,EUR
4,32,32,Drink,Vino Locale,6,EUR
5,32,32,Dessert,Tiramisu,8,EUR
1,33,33,Starters,Insalata,4,EUR
2,33,33,Primi,Pici al ragù di cinghiale,8,EUR
3,33,33,Secondi,Carne,15,EUR
4,33,33,Drink,Vino Locale,6,EUR
5,33,33,Dessert,Tiramisu,8,EUR
1,34,34,Starters,Insalata,4,EUR
2,34,34,Primi,Pici al ragù di cinghiale,8,EUR
3,34,34,Secondi,Carne,15,EUR
4,34,34,Drink,Vino Locale,6,EUR
5,34,34,Dessert,Tiramisu,8,EUR
1,35,35,Starters,Insalata,4,EUR
2,35,35,Primi,Pici al ragù di cinghiale,8,EUR
3,35,35,Secondi,Carne,15,EUR
4,35,35,Drink,Vino Locale,6,EUR
5,35,35,Dessert,Tiramisu,8,EUR
1,36,36,Starters,Insalata,4,EUR
2,36,36,Primi,Pici al ragù di cinghiale,8,EUR
3,36,36,Secondi,Carne,15,EUR
4,36,36,Drink,Vino Locale,6,EUR
5,36,36,Dessert,Tiramisu,8,EUR
1,37,37,Starters,Insalata,4,EUR
2,37,37,Primi,Pici al ragù di cinghiale,8,EUR
3,37,37,Secondi,Carne,15,EUR
4,37,37,Drink,Vino Locale,6,EUR
5,37,37,Dessert,Tiramisu,8,EUR
1,38,38,Starters,Insalata,4,EUR
2,38,38,Primi,Pici al ragù di cinghiale,8,EUR
3,38,38,Secondi,Carne,15,EUR
4,38,38,Drink,Vino Locale,6,EUR
5,38,38,Dessert,Tiramisu,8,EUR
1,39,39,Starters,Insalata,4,EUR
2,39,39,Primi,Pici al ragù di cinghiale,8,EUR
3,39,39,Secondi,Carne,15,EUR
4,39,39,Drink,Vino Locale,6,EUR
5,39,39,Dessert,Tiramisu,8,EUR
1,40,40,Starters,Insalata,4,EUR
2,40,40,Primi,Pici al ragù di cinghiale,8,EUR
3,40,40,Secondi,Carne,15,EUR
4,40,40,Drink,Vino Locale,6,EUR
5,40,40,Dessert,Tiramisu,8,EUR
1,41,41,Starters,Insalata,4,EUR
2,41,41,Primi,Pici al ragù di cinghiale,8,EUR
3,41,41,Secondi,Carne,15,EUR
4,41,41,Drink,Vino Locale,6,EUR
5,41,41,Dessert,Tiramisu,8,EUR
1,42,42,Starters,Insalata,4,EUR
2,42,42,Primi,Pici al ragù di cinghiale,8,EUR
3,42,42,Secondi,Carne,15,EUR
4,42,42,Drink,Vino Locale,6,EUR
5,42,42,Dessert,Tiramisu,8,EUR
1,43,43,Starters,Insalata,4,EUR
2,43,43,Primi,Pici al ragù di cinghiale,8,EUR
3,43,43,Secondi,Carne,15,EUR
4,43,43,Drink,Vino Locale,6,EUR
5,43,43,Dessert,Tiramisu,8,EUR
1,44,44,Starters,Insalata,4,EUR
2,44,44,Primi,Pici al ragù di cinghiale,8,EUR
3,44,44,Secondi,Carne,15,EUR
4,44,44,Drink,Vino Locale,6,EUR
5,44,44,Dessert,Tiramisu,8,EUR
1,45,45,Starters,Insalata,4,EUR
2,45,45,Primi,Pici al ragù di cinghiale,8,EUR
3,45,45,Secondi,Carne,15,EUR
4,45,45,Drink,Vino Locale,6,EUR
5,45,45,Dessert,Tiramisu,8,EUR
1,46,46,Starters,Insalata,4,EUR
2,46,46,Primi,Pici al ragù di cinghiale,8,EUR
3,46,46,Secondi,Carne,15,EUR
4,46,46,Drink,Vino Locale,6,EUR
5,46,46,Dessert,Tiramisu,8,EUR
1,47,47,Starters,Insalata,4,EUR
2,47,47,Primi,Pici al ragù di cinghiale,8,EUR
3,47,47,Secondi,Carne,15,EUR
4,47,47,Drink,Vino Locale,6,EUR
5,47,47,Dessert,Tiramisu,8,EUR
1,48,48,Starters,Insalata,4,EUR
2,48,48,Primi,Pici al ragù di cinghiale,8,EUR
3,48,48,Secondi,Carne,15,EUR
4,48,48,Drink,Vino Locale,6,EUR
5,48,48,Dessert,Tiramisu,8,EUR
1,49,49,Starters,Insalata,4,EUR
2,49,49,Primi,Pici al ragù di cinghiale,8,EUR
3,49,49,Secondi,Carne,15,EUR
4,49,49,Drink,Vino Locale,6,EUR
5,49,49,Dessert,Tiramisu,8,EUR
1,50,50,Starters,Insalata,4,EUR
2,50,50,Primi,Pici al ragù di cinghiale,8,EUR
3,50,50,Secondi,Carne,15,EUR
4,50,50,Drink,Vino Locale,6,EUR
5,50,50,Dessert,Tiramisu,8,EUR
1,51,51,Starters,Insalata,4,EUR
2,51,51,Primi,Pici al ragù di cinghiale,8,EUR
3,51,51,Secondi,Carne,15,EUR
4,51,51,Drink,Vino Locale,6,EUR
5,51,51,Dessert,Tiramisu,8,EUR
1,52,52,Starters,Insalata,4,EUR
2,52,52,Primi,Pici al ragù di cinghiale,8,EUR
3,52,52,Secondi,Carne,15,EUR
4,52,52,Drink,Vino Locale,6,EUR
5,52,52,Dessert,Tiramisu,8,EUR
1,53,53,Starters,Insalata,4,EUR
2,53,53,Primi,Pici al ragù di cinghiale,8,EUR
3,53,53,Secondi,Carne,15,EUR
4,53,53,Drink,Vino Locale,6,EUR
5,53,53,Dessert,Tiramisu,8,EUR
1,54,54,Starters,Insalata,4,EUR
2,54,54,Primi,Pici al ragù di cinghiale,8,EUR
3,54,54,Secondi,Carne,15,EUR
4,54,54,Drink,Vino Locale,6,EUR
5,54,54,Dessert,Tiramisu,8,EUR
1,55,55,Starters,Insalata,4,EUR
2,55,55,Primi,Pici al ragù di cinghiale,8,EUR
3,55,55,Secondi,Carne,15,EUR
4,55,55,Drink,Vino Locale,6,EUR
5,55,55,Dessert,Tiramisu,8,EUR
1,56,56,Starters,Insalata,4,EUR
2,56,56,Primi,Pici al ragù di cinghiale,8,EUR
3,56,56,Secondi,Carne,15,EUR
4,56,56,Drink,Vino Locale,6,EUR
5,56,56,Dessert,Tiramisu,8,EUR
1,57,57,Starters,Insalata,4,EUR
2,57,57,Primi,Pici al ragù di cinghiale,8,EUR
3,57,57,Secondi,Carne,15,EUR
4,57,57,Drink,Vino Locale,6,EUR
5,57,57,Dessert,Tiramisu,8,EUR
1,58,58,Starters,Insalata,4,EUR
2,58,58,Primi,Pici al ragù di cinghiale,8,EUR
3,58,58,Secondi,Carne,15,EUR
4,58,58,Drink,Vino Locale,6,EUR
5,58,58,Dessert,Tiramisu,8,EUR
1,59,59,Starters,Insalata,4,EUR
2,59,59,Primi,Pici al ragù di cinghiale,8,EUR
3,59,59,Secondi,Carne,15,EUR
4,59,59,Drink,Vino Locale,6,EUR
5,59,59,Dessert,Tiramisu,8,EUR
1,60,60,Starters,Insalata,4,EUR
2,60,60,Primi,Pici al ragù di cinghiale,8,EUR
3,60,60,Secondi,Carne,15,EUR
4,60,60,Drink,Vino Locale,6,EUR
5,60,60,Dessert,Tiramisu,8,EUR
1,61,61,Starters,Insalata,4,EUR
2,61,61,Primi,Pici al ragù di cinghiale,8,EUR
3,61,61,Secondi,Carne,15,EUR
4,61,61,Drink,Vino Locale,6,EUR
5,61,61,Dessert,Tiramisu,8,EUR
1,62,62,Starters,Insalata,4,EUR
2,62,62,Primi,Pici al ragù di cinghiale,8,EUR
3,62,62,Secondi,Carne,15,EUR
4,62,62,Drink,Vino Locale,6,EUR
5,62,62,Dessert,Tiramisu,8,EUR
1,63,63,Starters,Insalata,4,EUR
2,63,63,Primi,Pici al ragù di cinghiale,8,EUR
3,63,63,Secondi,Carne,15,EUR
4,63,63,Drink,Vino Locale,6,EUR
5,63,63,Dessert,Tiramisu,8,EUR
1,64,64,Starters,Insalata,4,EUR
2,64,64,Primi,Pici al ragù di cinghiale,8,EUR
3,64,64,Secondi,Carne,15,EUR
4,64,64,Drink,Vino Locale,6,EUR
5,64,64,Dessert,Tiramisu,8,EUR
1,65,65,Starters,Insalata,4,EUR
2,65,65,Primi,Pici al ragù di cinghiale,8,EUR
3,65,65,Secondi,Carne,15,EUR
4,65,65,Drink,Vino Locale,6,EUR
5,65,65,Dessert,Tiramisu,8,EUR
1,66,66,Starters,Insalata,4,EUR
2,66,66,Primi,Pici al ragù di cinghiale,8,EUR
3,66,66,Secondi,Carne,15,EUR
4,66,66,Drink,Vino Locale,6,EUR
5,66,66,Dessert,Tiramisu,8,EUR
1,67,67,Starters,Insalata,4,EUR
2,67,67,Primi,Pici al ragù di cinghiale,8,EUR
3,67,67,Secondi,Carne,15,EUR
4,67,67,Drink,Vino Locale,6,EUR
5,67,67,Dessert,Tiramisu,8,EUR
1,68,68,Starters,Insalata,4,EUR
2,68,68,Primi,Pici al ragù di cinghiale,8,EUR
3,68,68,Secondi,Carne,15,EUR
4,68,68,Drink,Vino Locale,6,EUR
5,68,68,Dessert,Tiramisu,8,EUR
1,69,69,Starters,Insalata,4,EUR
2,69,69,Primi,Pici al ragù di cinghiale,8,EUR
3,69,69,Secondi,Carne,15,EUR
4,69,69,Drink,Vino Locale,6,EUR
5,69,69,Dessert,Tiramisu,8,EUR
1,70,70,Starters,Insalata,4,EUR
2,70,70,Primi,Pici al ragù di cinghiale,8,EUR
3,70,70,Secondi,Carne,15,EUR
4,70,70,Drink,Vino Locale,6,EUR
5,70,70,Dessert,Tiramisu,8,EUR
1,71,71,Starters,Insalata,4,EUR
2,71,71,Primi,Pici al ragù di cinghiale,8,EUR
3,71,71,Secondi,Carne,15,EUR
4,71,71,Drink,Vino Locale,6,EUR
5,71,71,Dessert,Tiramisu,8,EUR
1,72,72,Starters,Insalata,4,EUR
2,72,72,Primi,Pici al ragù di cinghiale,8,EUR
3,72,72,Secondi,Carne,15,EUR
4,72,72,Drink,Vino Locale,6,EUR
5,72,72,Dessert,Tiramisu,8,EUR
1,73,73,Starters,Insalata,4,EUR
2,73,73,Primi,Pici al ragù di cinghiale,8,EUR
3,73,73,Secondi,Carne,15,EUR
4,73,73,Drink,Vino Locale,6,EUR
5,73,73,Dessert,Tiramisu,8,EUR
1,74,74,Starters,Insalata,4,EUR
2,74,74,Primi,Pici al ragù di cinghiale,8,EUR
3,74,74,Secondi,Carne,15,EUR
4,74,74,Drink,Vino Locale,6,EUR
5,74,74,Dessert,Tiramisu,8,EUR
1,75,75,Starters,Insalata,4,EUR
2,75,75,Primi,Pici al ragù di cinghiale,8,EUR
3,75,75,Secondi,Carne,15,EUR
4,75,75,Drink,Vino Locale,6,EUR
5,75,75,Dessert,Tiramisu,8,EUR
1,76,76,Starters,Insalata,4,EUR
2,76,76,Primi,Pici al ragù di cinghiale,8,EUR
3,76,76,Secondi,Carne,15,EUR
4,76,76,Drink,Vino Locale,6,EUR
5,76,76,Dessert,Tiramisu,8,EUR
1,77,77,Starters,Insalata,4,EUR
2,77,77,Primi,Pici al ragù di cinghiale,8,EUR
3,77,77,Secondi,Carne,15,EUR
4,77,77,Drink,Vino Locale,6,EUR
5,77,77,Dessert,Tiramisu,8,EUR
1,78,78,Starters,Insalata,4,EUR
2,78,78,Primi,Pici al ragù di cinghiale,8,EUR
3,78,78,Secondi,Carne,15,EUR
4,78,78,Drink,Vino Locale,6,EUR
5,78,78,Dessert,Tiramisu,8,EUR
1,79,79,Starters,Insalata,4,EUR
2,79,79,Primi,Pici al ragù di cinghiale,8,EUR
3,79,79,Secondi,Carne,15,EUR
4,79,79,Drink,Vino Locale,6,EUR
5,79,79,Dessert,Tiramisu,8,EUR
1,80,80,Starters,Insalata,4,EUR
2,80,80,Primi,Pici al ragù di cinghiale,8,EUR
3,80,80,Secondi,Carne,15,EUR
4,80,80,Drink,Vino Locale,6,EUR
5,80,80,Dessert,Tiramisu,8,EUR
1,81,81,Starters,Insalata,4,EUR
2,81,81,Primi,Pici al ragù di cinghiale,8,EUR
3,81,81,Secondi,Carne,15,EUR
4,81,81,Drink,Vino Locale,6,EUR
5,81,81,Dessert,Tiramisu,8,EUR
1,82,82,Starters,Insalata,4,EUR
2,82,82,Primi,Pici al ragù di cinghiale,8,EUR
3,82,82,Secondi,Carne,15,EUR
4,82,82,Drink,Vino Locale,6,EUR
5,82,82,Dessert,Tiramisu,8,EUR
1,83,83,Starters,Insalata,4,EUR
2,83,83,Primi,Pici al ragù di cinghiale,8,EUR
3,83,83,Secondi,Carne,15,EUR
4,83,83,Drink,Vino Locale,6,EUR
5,83,83,Dessert,Tiramisu,8,EUR
1,84,84,Starters,Insalata,4,EUR
2,84,84,Primi,Pici al ragù di cinghiale,8,EUR
3,84,84,Secondi,Carne,15,EUR
4,84,84,Drink,Vino Locale,6,EUR
5,84,84,Dessert,Tiramisu,8,EUR
1,85,85,Starters,Insalata,4,EUR
2,85,85,Primi,Pici al ragù di cinghiale,8,EUR
3,85,85,Secondi,Carne,15,EUR
4,85,85,Drink,Vino Locale,6,EUR
5,85,85,Dessert,Tiramisu,8,EUR
1,86,86,Starters,Insalata,4,EUR
2,86,86,Primi,Pici al ragù di cinghiale,8,EUR
3,86,86,Secondi,Carne,15,EUR
4,86,86,Drink,Vino Locale,6,EUR
5,86,86,Dessert,Tiramisu,8,EUR
1,87,87,Starters,Insalata,4,EUR
2,87,87,Primi,Pici al ragù di cinghiale,8,EUR
3,87,87,Secondi,Carne,15,EUR
4,87,87,Drink,Vino Locale,6,EUR
5,87,87,Dessert,Tiramisu,8,EUR
1,88,88,Starters,Insalata,4,EUR
2,88,88,Primi,Pici al ragù di cinghiale,8,EUR
3,88,88,Secondi,Carne,15,EUR
4,88,88,Drink,Vino Locale,6,EUR
5,88,88,Dessert,Tiramisu,8,EUR
1,89,89,Starters,Insalata,4,EUR
2,89,89,Primi,Pici al ragù di cinghiale,8,EUR
3,89,89,Secondi,Carne,15,EUR
4,89,89,Drink,Vino Locale,6,EUR
5,89,89,Dessert,Tiramisu,8,EUR
1,90,90,Starters,Insalata,4,EUR
2,90,90,Primi,Pici al ragù di cinghiale,8,EUR
3,90,90,Secondi,Carne,15,EUR
4,90,90,Drink,Vino Locale,6,EUR
5,90,90,Dessert,Tiramisu,8,EUR
1,91,91,Starters,Insalata,4,EUR
2,91,91,Primi,Pici al ragù di cinghiale,8,EUR
3,91,91,Secondi,Carne,15,EUR
4,91,91,Drink,Vino Locale,6,EUR
5,91,91,Dessert,Tiramisu,8,EUR
1,92,92,Starters,Insalata,4,EUR
2,92,92,Primi,Pici al ragù di cinghiale,8,EUR
3,92,92,Secondi,Carne,15,EUR
4,92,92,Drink,Vino Locale,6,EUR
5,92,92,Dessert,Tiramisu,8,EUR
1,93,93,Starters,Insalata,4,EUR
2,93,93,Primi,Pici al ragù di cinghiale,8,EUR
3,93,93,Secondi,Carne,15,EUR
4,93,93,Drink,Vino Locale,6,EUR
5,93,93,Dessert,Tiramisu,8,EUR
1,94,94,Starters,Insalata,4,EUR
2,94,94,Primi,Pici al ragù di cinghiale,8,EUR
3,94,94,Secondi,Carne,15,EUR
4,94,94,Drink,Vino Locale,6,EUR
5,94,94,Dessert,Tiramisu,8,EUR
1,95,95,Starters,Insalata,4,EUR
2,95,95,Primi,Pici al ragù di cinghiale,8,EUR
3,95,95,Secondi,Carne,15,EUR
4,95,95,Drink,Vino Locale,6,EUR
5,95,95,Dessert,Tiramisu,8,EUR
1,96,96,Starters,Insalata,4,EUR
2,96,96,Primi,Pici al ragù di cinghiale,8,EUR
3,96,96,Secondi,Carne,15,EUR
4,96,96,Drink,Vino Locale,6,EUR
5,96,96,Dessert,Tiramisu,8,EUR
1,97,97,Starters,Insalata,4,EUR
2,97,97,Primi,Pici al ragù di cinghiale,8,EUR
3,97,97,Secondi,Carne,15,EUR
4,97,97,Drink,Vino Locale,6,EUR
5,97,97,Dessert,Tiramisu,8,EUR
1,98,98,Starters,Insalata,4,EUR
2,98,98,Primi,Pici al ragù di cinghiale,8,EUR
3,98,98,Secondi,Carne,15,EUR
4,98,98,Drink,Vino Locale,6,EUR
5,98,98,Dessert,Tiramisu,8,EUR
1,99,99,Starters,Insalata,4,EUR
2,99,99,Primi,Pici al ragù di cinghiale,8,EUR
3,99,99,Secondi,Carne,15,EUR
4,99,99,Drink,Vino Locale,6,EUR
5,99,99,Dessert,Tiramisu,8,EUR
1,100,100,Starters,Insalata,4,EUR
2,100,100,Primi,Pici al ragù di cinghiale,8,EUR
3,100,100,Secondi,Carne,15,EUR
4,100,100,Drink,Vino Locale,6,EUR
5,100,100,Dessert,Tiramisu,8,EUR
1,101,101,Starters,Insalata,4,EUR
2,101,101,Primi,Pici al ragù di cinghiale,8,EUR
3,101,101,Secondi,Carne,15,EUR
4,101,101,Drink,Vino Locale,6,EUR
5,101,101,Dessert,Tiramisu,8,EUR
1,102,102,Starters,Insalata,4,EUR
2,102,102,Primi,Pici al ragù di cinghiale,8,EUR
3,102,102,Secondi,Carne,15,EUR
4,102,102,Drink,Vino Locale,6,EUR
5,102,102,Dessert,Tiramisu,8,EUR
1,103,103,Starters,Insalata,4,EUR
2,103,103,Primi,Pici al ragù di cinghiale,8,EUR
3,103,103,Secondi,Carne,15,EUR
4,103,103,Drink,Vino Locale,6,EUR
5,103,103,Dessert,Tiramisu,8,EUR
1,104,104,Starters,Insalata,4,EUR
2,104,104,Primi,Pici al ragù di cinghiale,8,EUR
3,104,104,Secondi,Carne,15,EUR
4,104,104,Drink,Vino Locale,6,EUR
5,104,104,Dessert,Tiramisu,8,EUR
1,105,105,Starters,Insalata,4,EUR
2,105,105,Primi,Pici al ragù di cinghiale,8,EUR
3,105,105,Secondi,Carne,15,EUR
4,105,105,Drink,Vino Locale,6,EUR
5,105,105,Dessert,Tiramisu,8,EUR
1,106,106,Starters,Insalata,4,EUR
2,106,106,Primi,Pici al ragù di cinghiale,8,EUR
3,106,106,Secondi,Carne,15,EUR
4,106,106,Drink,Vino Locale,6,EUR
5,106,106,Dessert,Tiramisu,8,EUR
1,107,107,Starters,Insalata,4,EUR
2,107,107,Primi,Pici al ragù di cinghiale,8,EUR
3,107,107,Secondi,Carne,15,EUR
4,107,107,Drink,Vino Locale,6,EUR
5,107,107,Dessert,Tiramisu,8,EUR
1,108,108,Starters,Insalata,4,EUR
2,108,108,Primi,Pici al ragù di cinghiale,8,EUR
3,108,108,Secondi,Carne,15,EUR
4,108,108,Drink,Vino Locale,6,EUR
5,108,108,Dessert,Tiramisu,8,EUR
1,109,109,Starters,Insalata,4,EUR
2,109,109,Primi,Pici al ragù di cinghiale,8,EUR
3,109,109,Secondi,Carne,15,EUR
4,109,109,Drink,Vino Locale,6,EUR
5,109,109,Dessert,Tiramisu,8,EUR
1,110,110,Starters,Insalata,4,EUR
2,110,110,Primi,Pici al ragù di cinghiale,8,EUR
3,110,110,Secondi,Carne,15,EUR
4,110,110,Drink,Vino Locale,6,EUR
5,110,110,Dessert,Tiramisu,8,EUR
1,111,111,Starters,Insalata,4,EUR
2,111,111,Primi,Pici al ragù di cinghiale,8,EUR
3,111,111,Secondi,Carne,15,EUR
4,111,111,Drink,Vino Locale,6,EUR
5,111,111,Dessert,Tiramisu,8,EUR
1,112,112,Starters,Insalata,4,EUR
2,112,112,Primi,Pici al ragù di cinghiale,8,EUR
3,112,112,Secondi,Carne,15,EUR
4,112,112,Drink,Vino Locale,6,EUR
5,112,112,Dessert,Tiramisu,8,EUR
1,113,113,Starters,Insalata,4,EUR
2,113,113,Primi,Pici al ragù di cinghiale,8,EUR
3,113,113,Secondi,Carne,15,EUR
4,113,113,Drink,Vino Locale,6,EUR
5,113,113,Dessert,Tiramisu,8,EUR
1,114,114,Starters,Insalata,4,EUR
2,114,114,Primi,Pici al ragù di cinghiale,8,EUR
3,114,114,Secondi,Carne,15,EUR
4,114,114,Drink,Vino Locale,6,EUR
5,114,114,Dessert,Tiramisu,8,EUR
1,115,115,Starters,Insalata,4,EUR
2,115,115,Primi,Pici al ragù di cinghiale,8,EUR
3,115,115,Secondi,Carne,15,EUR
4,115,115,Drink,Vino Locale,6,EUR
5,115,115,Dessert,Tiramisu,8,EUR
1,116,116,Starters,Insalata,4,EUR
2,116,116,Primi,Pici al ragù di cinghiale,8,EUR
3,116,116,Secondi,Carne,15,EUR
4,116,116,Drink,Vino Locale,6,EUR
5,116,116,Dessert,Tiramisu,8,EUR
1,117,117,Starters,Insalata,4,EUR
2,117,117,Primi,Pici al ragù di cinghiale,8,EUR
3,117,117,Secondi,Carne,15,EUR
4,117,117,Drink,Vino Locale,6,EUR
5,117,117,Dessert,Tiramisu,8,EUR
